date,sector,avg_change_pct,avg_rsi,avg_adx,avg_macd_diff,breadth_sma20,breadth_sma50,breadth_sma200,total_fund_flow,avg_relative_volume,total_market_cap,composite_score,stock_count
2026-02-12,金融,-0.5731,53.87,26.97,0.0,0.576,0.5899,0.5239,377810563.34,1.1153,11909897978868.832,50.26,1802
2026-02-12,電子テクノロジー,0.9053,51.43,26.63,0.0,0.4752,0.5,0.5023,67010476.81,1.1602,16860823468677.826,52.83,444
2026-02-12,非エネルギー鉱物,-0.3736,51.58,27.68,0.0,0.4268,0.5163,0.5203,3465697.16,1.1307,1054456231649.6962,50.3,246
2026-02-12,非耐久消費財,1.1285,50.58,27.84,0.0,0.498,0.4531,0.3551,-24268032.75,1.6297,2465897873039.2554,49.73,245
2026-02-13,その他,-0.1672,54.01,24.45,0.0,0.5781,0.6531,0.5903,-5638570.54,1.0404,340109933983.504,51.96,493
2026-02-13,エネルギー鉱物,-3.8048,51.17,26.82,0.0,0.5058,0.5116,0.436,-19455924.49,0.8099,1787470217371.0999,39.26,172
2026-02-13,テクノロジーサービス,-2.2656,40.34,28.56,0.0,0.2005,0.1813,0.1757,359099551.14,3.8302,13712382420589.139,36.24,888
2026-02-13,ヘルスケアサービス,-1.2913,46.65,26.05,0.0,0.3309,0.3022,0.295,-7647853.69,0.8878,808887255893.8423,41.43,139
2026-02-13,ヘルスケアテクノロジー,-2.0947,44.14,26.27,0.0,0.2734,0.2977,0.3698,-116668685.6,1.41,6008386882218.719,40.98,1152
2026-02-13,交通・輸送,-1.5312,50.1,28.46,0.0,0.5091,0.5455,0.5818,13946400.69,5.0003,1192380848187.0225,49.04,165
2026-02-13,公益事業,-0.4515,57.84,27.52,0.0,0.7077,0.7077,0.5923,9377533.86,1.1294,1674477176691.8032,52.52,130
2026-02-13,商業サービス,-1.1659,42.73,27.05,0.0,0.2638,0.2615,0.195,-34735914.26,2.1232,996939373538.0453,38.79,436
2026-02-13,小売業,-1.6743,46.83,27.35,0.0,0.3715,0.3715,0.3636,-3252674.36,1.0883,6204305428686.387,42.55,253
2026-02-13,政府,-0.2049,55.97,35.54,0.0,1.0,1.0,1.0,-17.28,0.378,250312329.0,64.69,1
2026-02-13,流通サービス,-0.6942,48.63,27.13,0.0,0.4843,0.4906,0.3899,-5446895.17,1.2917,646872384950.0192,45.72,159
2026-02-13,消費者サービス,-1.2845,46.23,27.42,0.0,0.4097,0.4,0.3258,-4596979.55,1.8918,2167136683375.5896,42.52,310
2026-02-13,生産財製造,-0.9007,52.8,28.48,0.0,0.5347,0.5527,0.5476,-36998925.02,1.0626,3354656072444.6626,49.8,389
2026-02-13,産業サービス,-1.8415,52.61,29.16,0.0,0.5,0.5481,0.4904,-39511631.33,0.9911,1406653242983.4233,45.97,208
2026-02-13,素材産業,0.0401,51.09,27.51,0.0,0.4746,0.471,0.3877,-5206130.84,0.8067,1096848365740.1481,47.86,276
2026-02-13,耐久消費財,-2.1432,48.85,25.43,0.0,0.425,0.465,0.36,-10695471.17,0.9842,2152349888671.2874,41.06,200
2026-02-13,通信,-2.0975,50.21,25.69,0.0,0.4203,0.4058,0.4203,-3526346.16,1.0054,776661358318.2849,42.88,69
2026-02-13,金融,-0.519,52.49,26.94,0.0,0.5339,0.5582,0.5108,106269742.41,1.1642,11738332434549.68,49.7,1813
2026-02-13,電子テクノロジー,-0.2875,49.59,26.7,0.0,0.4234,0.4775,0.4842,-55882168.43,1.0434,16420484858888.615,49.15,444
2026-02-13,非エネルギー鉱物,-1.1721,49.55,27.7,0.0,0.364,0.4812,0.523,-23077574.33,0.991,1015228756510.4895,47.91,239
2026-02-13,非耐久消費財,-0.035,49.64,28.3,0.0,0.4733,0.4527,0.3416,55896238.35,1.52,2471647352650.585,46.8,243
2026-02-14,その他,0.4919,54.28,24.7,0.0,0.6029,0.6599,0.6008,217227.13,1.0842,340261798049.2203,54.12,491
2026-02-14,エネルギー鉱物,-0.9981,52.31,25.83,0.0,0.5424,0.5537,0.4463,-10455993.18,1.0933,1797857563394.6216,46.5,177
2026-02-14,テクノロジーサービス,1.3797,41.7,28.86,0.0,0.2298,0.2018,0.1805,102962184.46,3.2479,13734665139761.875,45.48,892
2026-02-14,ヘルスケアサービス,2.7982,48.38,26.09,0.0,0.3643,0.3429,0.35,8904458.23,1.0105,824052229065.2346,53.41,140
2026-02-14,ヘルスケアテクノロジー,0.3417,44.76,26.35,0.0,0.2806,0.3032,0.3692,3905901.64,1.1127,6043469176840.82,47.34,1151
2026-02-14,交通・輸送,1.2419,51.63,28.36,0.0,0.5301,0.5783,0.5783,2365945.87,1.4373,1197197323079.5115,55.92,166
2026-02-14,公益事業,2.3226,60.56,28.05,0.0,0.7462,0.7308,0.6615,5889167.65,0.91,1718442330097.1262,61.55,130
2026-02-14,商業サービス,1.3297,43.72,27.13,0.0,0.2799,0.2664,0.2009,137393248.84,3.9388,1013055072265.726,47.0,443
2026-02-14,小売業,0.7874,48.09,27.62,0.0,0.4263,0.4024,0.3984,5287239.18,0.9087,6207894699741.508,49.77,251
2026-02-14,政府,0.0,55.97,35.2,0.0,1.0,1.0,1.0,0.0,0.533,249799394.0,65.14,1
2026-02-14,流通サービス,-1.6587,48.93,26.91,0.0,0.4938,0.4812,0.375,-1043433.21,7.4032,655090973316.5239,42.99,160
2026-02-14,消費者サービス,0.4163,46.55,27.25,0.0,0.4026,0.3866,0.3323,72304927.4,1.5155,2153624269282.4312,47.29,313
2026-02-14,生産財製造,1.1664,53.65,28.54,0.0,0.5305,0.5558,0.5457,13321102.93,1.5404,3401813479045.714,55.17,394
2026-02-14,産業サービス,2.2725,53.94,28.99,0.0,0.5217,0.5652,0.4879,12103565.59,1.5497,1430256183273.2517,56.66,207
2026-02-14,素材産業,2.8587,51.79,27.66,0.0,0.4982,0.4982,0.4,3038264.32,0.7642,1100099629526.9739,55.39,275
2026-02-14,耐久消費財,1.1433,50.46,25.49,0.0,0.445,0.47,0.365,44825469.28,1.6788,2165561636319.503,49.83,200
2026-02-14,通信,-2.8847,50.49,26.13,0.0,0.4559,0.3676,0.4118,390859.68,1.3247,776931489989.2273,40.86,68
2026-02-14,金融,0.3846,53.03,26.95,0.0,0.5562,0.5728,0.516,20985206.22,1.2418,11724384483270.654,52.07,1814
2026-02-14,電子テクノロジー,1.9299,50.47,26.75,0.0,0.4337,0.4944,0.4921,24227811.52,1.532,16277517904704.266,55.04,445
2026-02-14,非エネルギー鉱物,1.8693,49.74,27.32,0.0,0.378,0.4756,0.4919,6208746.97,1.6524,1027597323669.1686,54.97,246
2026-02-14,非耐久消費財,-0.7269,50.04,27.8,0.0,0.4752,0.438,0.343,25764149.56,1.2162,2470419541114.392,44.93,242
2026-02-16,その他,0.4919,54.28,24.7,0.0,0.6029,0.6599,0.6008,217227.13,1.0842,341715473286.98035,54.12,491
2026-02-16,エネルギー鉱物,-0.9981,52.31,25.83,0.0,0.5424,0.5537,0.4463,-10455993.18,1.0933,1797896942242.9585,46.5,177
2026-02-16,テクノロジーサービス,1.3797,41.69,28.88,0.0,0.2298,0.2029,0.1816,102962184.46,3.2479,13760847489093.775,45.51,892
2026-02-16,ヘルスケアサービス,2.7982,48.38,26.09,0.0,0.3643,0.3429,0.35,8904458.23,1.0105,824040027485.1864,53.41,140
2026-02-16,ヘルスケアテクノロジー,0.3417,44.75,26.34,0.0,0.2804,0.3021,0.3681,3905901.64,1.1127,6051927680947.207,47.31,1152
2026-02-16,交通・輸送,1.2419,51.63,28.36,0.0,0.5301,0.5783,0.5783,2365945.87,1.4373,1196981944447.3184,55.92,166
2026-02-16,公益事業,2.3226,60.56,28.05,0.0,0.7462,0.7308,0.6615,5889167.65,0.91,1719935560406.4126,61.55,130
2026-02-16,商業サービス,1.3297,43.72,27.13,0.0,0.2799,0.2664,0.2009,137393248.84,3.9388,1011890616098.8882,47.0,443
2026-02-16,小売業,0.7874,48.09,27.62,0.0,0.4263,0.4024,0.3984,5287239.18,0.9087,6198938900933.061,49.77,251
2026-02-16,政府,0.0,55.97,35.2,0.0,1.0,1.0,1.0,0.0,0.533,249799394.0,65.14,1
2026-02-16,流通サービス,-1.6587,48.93,26.91,0.0,0.4938,0.4812,0.375,-1043433.21,7.4032,654848084860.6302,42.99,160
2026-02-16,消費者サービス,0.4163,46.55,27.25,0.0,0.4026,0.3866,0.3323,72304927.4,1.5155,2152041683828.2708,47.29,313
2026-02-16,生産財製造,1.1664,53.65,28.54,0.0,0.5305,0.5558,0.5457,13321102.93,1.5404,3401675211816.7544,55.17,394
2026-02-16,産業サービス,2.2725,53.94,28.99,0.0,0.5217,0.5652,0.4879,12103565.59,1.5497,1427958441245.8726,56.66,207
2026-02-16,素材産業,2.8587,51.79,27.66,0.0,0.4982,0.4982,0.4,3038264.32,0.7642,1099835645211.9036,55.39,275
2026-02-16,耐久消費財,1.1433,50.46,25.49,0.0,0.445,0.47,0.365,44825469.28,1.6788,2165481160285.0405,49.83,200
2026-02-16,通信,-2.8847,50.49,26.13,0.0,0.4559,0.3676,0.4118,390859.68,1.3247,776858088250.4863,40.86,68
2026-02-16,金融,0.3846,53.03,26.95,0.0,0.5562,0.5728,0.516,20985206.22,1.2418,11731728701409.473,52.07,1814
2026-02-16,電子テクノロジー,1.9299,50.47,26.75,0.0,0.4337,0.4944,0.4921,24227811.52,1.532,16279877191501.004,55.04,445
2026-02-16,非エネルギー鉱物,1.8693,49.74,27.32,0.0,0.378,0.4756,0.4919,6208746.97,1.6524,1028350185841.4741,54.97,246
2026-02-16,非耐久消費財,-0.7269,50.04,27.8,0.0,0.4752,0.438,0.343,25764149.56,1.2162,2470082608620.25,44.93,242
2026-02-17,その他,0.4929,54.3,24.74,0.0,0.6041,0.6612,0.602,217227.13,1.0864,341714903757.2804,54.17,490
2026-02-17,エネルギー鉱物,-1.0096,52.4,26.03,0.0,0.5486,0.56,0.4514,-10455993.18,1.105,1797896929239.506,46.65,175
2026-02-17,テクノロジーサービス,1.4993,41.61,28.83,0.0,0.2282,0.2011,0.1819,103217409.38,3.2704,13762297482887.432,45.8,885
2026-02-17,ヘルスケアサービス,2.5315,48.53,26.31,0.0,0.363,0.3556,0.363,8906439.73,1.0323,823863374305.7936,53.13,135
2026-02-17,ヘルスケアテクノロジー,0.2775,44.75,26.37,0.0,0.2801,0.3037,0.3691,3912648.0,1.105,6051830635134.637,47.18,1146
2026-02-17,交通・輸送,1.2419,51.63,28.36,0.0,0.5301,0.5783,0.5783,2365945.87,1.4373,1196982926807.2905,55.92,166
2026-02-17,公益事業,2.3406,60.66,27.69,0.0,0.7519,0.7364,0.6667,5889167.65,0.917,1719935556658.9717,61.66,129
2026-02-17,商業サービス,1.1249,43.71,27.12,0.0,0.2808,0.2648,0.2032,137362928.75,3.9697,1011869567852.3329,46.55,438
2026-02-17,小売業,0.6901,47.96,27.75,0.0,0.4262,0.4057,0.4098,5287233.68,0.9164,6197317810091.837,49.83,244
2026-02-17,政府,0.0,55.97,35.2,0.0,1.0,1.0,1.0,0.0,0.533,249799394.0,65.14,1
2026-02-17,流通サービス,-1.5834,49.05,26.87,0.0,0.4969,0.4843,0.3774,-1035406.73,7.4475,654836783399.8552,43.24,159
2026-02-17,消費者サービス,0.0984,46.54,27.11,0.0,0.4026,0.3864,0.3344,72330960.4,1.5356,2151376438774.3457,46.52,308
2026-02-17,生産財製造,1.2081,53.71,28.58,0.0,0.5333,0.5564,0.5462,13368526.1,1.5355,3401132360512.9854,55.3,390
2026-02-17,産業サービス,2.551,54.13,28.97,0.0,0.5245,0.5735,0.4951,12103715.59,1.5723,1427958422881.4824,57.55,204
2026-02-17,素材産業,2.7366,51.96,27.74,0.0,0.4981,0.5019,0.4089,3038164.32,0.7658,1099834079404.6733,55.34,269
2026-02-17,耐久消費財,1.1698,50.57,25.53,0.0,0.4416,0.4721,0.3706,44810871.83,1.6998,2165792780974.2224,50.06,197
2026-02-17,通信,-2.9721,50.75,26.55,0.0,0.4545,0.3788,0.4242,390859.68,1.3641,776856074325.6853,41.06,66
2026-02-17,金融,0.3666,53.06,27.01,0.0,0.5587,0.5754,0.5201,20843454.86,1.2495,11728690004535.352,52.14,1790
