シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価,ADX (平均方向性指数) (14) 1日,"MACD (移動平均収束拡散) (12,26) 1日, Level",RSI (相対力指数) (14) 1日,SMA (単純移動平均) (50) 1日,SMA (単純移動平均) (20) 1日,SMA (単純移動平均) (200) 1日
8929,青山財産ネットワークス,1313,JPY,-3.0996309963099633,168900,1.3480724718652726,214378137.90908498,USD,11.461813306004228,0.7309709883000001,USD,14.772022526733213,3.91143911439114,金融,評価なし,57.70973075974759,-54.982069987900104,28.78182943923322,1499.4600000000003,1415.5999999999995,1814.050000000002
7074,トゥエンティーフォーセブンホールディングス,203,JPY,-1.932367149758454,14300,0.3205559291638646,11159814.235833,USD,,-0.15845888279999998,USD,66.99272569161948,0,テクノロジーサービス,評価なし,20.013073632012972,-4.298914403423964,35.60756386668017,218.74,217.8,255.285
3174,ハピネス・アンド・ディ,523,JPY,-5.081669691470054,52700,0.9904153354632588,11136502.963284,USD,,-2.0284300611,USD,-99.62802157638696,1.36116152450091,小売業,評価なし,24.08248197627461,-17.346686950692742,23.820034253909412,632.9,613.85,676.815
5451,ヨドコウ,1624,JPY,-1.6353725015142337,1208400,3.0287991578314157,1638804088.042956,USD,20.22473869114557,0.5123796237000001,USD,45.40362885701871,4.25196850393701,非エネルギー鉱物,評価なし,28.662223450766373,35.67857934436779,76.31359568471024,1408.4799999999987,1440.0500000000022,1281.005
3558,ジェイドグループ,1592,JPY,-5.238095238095238,184900,2.1432711255361077,120304647.534784,USD,14.865237101465514,0.6857324865,USD,222.86952930216856,1.78571428571429,小売業,評価なし,18.421618668379747,4.228717696696094,42.03612114463749,1594.5,1679.25,1465.35
3989,シェアリングテクノロジー,1194,JPY,-1.240694789081886,237000,0.7930665238923839,185953200.976485,USD,19.698646996616255,0.38677346730000006,USD,-8.127144745298231,3.3085194375517,テクノロジーサービス,評価なし,19.552131130732633,9.321953918944246,54.706663150828064,1177.52,1151.8499999999972,1089.9649999999997
145A,Ｌ　ＩＳ　Ｂ,801,JPY,-4.756242568370987,26200,0.6999732834624632,27381154.101916,USD,29.563631934627832,0.1728874521,USD,923.0751803043463,0,テクノロジーサービス,評価なし,28.51270596022405,-59.73690364862739,31.70452740818901,997.38,919.5,1034.335
5574,ＡＢＥＪＡ,3025,JPY,-8.054711246200608,209300,1.505105709765569,207666740.72003502,USD,57.730660228823346,0.3355075955,USD,113.93953993516301,0,テクノロジーサービス,評価なし,22.821369737392207,66.7709204660564,52.25316928630905,2819.2,3016.65,3108.675
4792,山田コンサルティンググループ,1678,JPY,-1.2360211889346673,36100,1.2320819112627985,205230266.640534,USD,13.951987867258227,0.7674403176,USD,-23.060300019127837,4.53207769276045,商業サービス,評価なし,24.947840978191877,-13.751629825618238,39.64939400032135,1742.7799999999918,1701.600000000001,1723.4050000000038
3224,ゼネラル・オイスター,832,JPY,-1.4218009478672986,3400,1.0725552050473186,27449585.898832,USD,,-0.0968814468,USD,50.87140259252787,1.18483412322275,消費者サービス,評価なし,20.171338482261607,4.412534925560863,49.01245331182314,834.46,839.25,712.865
9072,ニッコンホールディングス,3927,JPY,-1.3564431047475507,363600,0.9451274986353357,3136989025.553502,USD,31.534899183882914,0.7946176347,USD,-1.1071068940652484,1.60763627229339,交通・輸送,評価なし,22.60821470733994,86.26038390456415,58.06106177627762,3653.92,3860.6,3422.8775
9663,ナガワ,6080,JPY,-1.7770597738287561,25700,1.1772789738891434,617024770.575656,USD,22.84164317070559,1.6984977705000002,USD,35.342621913890966,0.969305331179321,耐久消費財,評価なし,21.539661296353902,11.674677773165058,50.61713507331192,6124.2,6006.5,6276.95
7486,サンリン,797,JPY,-3.1591737545565004,1700,1.1643835616438356,64208356.034428,USD,15.551280200117853,0.3270249738,USD,-11.690043767446667,2.91616038882138,流通サービス,評価なし,25.999830904777088,11.344575991505394,53.47046367356421,780.74,781.9,715.2
3020,アプライド,4185,JPY,-2.9002320185614847,8900,1.6481481481481481,74014135.37466401,USD,5.020685584513974,5.3188921215,USD,60.70497988853722,2.78422273781903,小売業,評価なし,25.17768392808637,-11.707978798283875,38.88470920944381,4345.7,4314.75,3856.705
9368,キムラユニティー,952,JPY,-2.158273381294964,28100,0.778393351800554,291059720.639754,USD,10.919359611674539,0.5563249326,USD,9.670715891351463,3.44295991778006,交通・輸送,評価なし,43.78935296800034,16.77442812799336,58.13596611914063,910.66,932.9,854.05
3440,日創グループ,996,JPY,-3.206997084548105,14800,1.5055951169888098,38551067.435023,USD,7.910129492631905,0.8062305435,USD,-23.19612499229915,3.88726919339164,生産財製造,評価なし,48.289591191460204,12.23423429870354,48.15887558603499,973.68,1006.3,1001.48
6349,小森コーポレーション,1730,JPY,-3.6748329621380846,154700,1.12697603263641,583169977.8764911,USD,9.476061442125092,1.1649491793000002,USD,54.494433842912095,4.62138084632517,生産財製造,評価なし,25.622138077052607,35.47140615277817,51.22953853559593,1656.56,1751.25,1532.79
6454,マックス,6870,JPY,-0.5788712011577424,104600,1.7606463558323515,2032651371.6348271,USD,24.056660263229585,1.8222591798000003,USD,14.97901736950327,1.64978292329957,生産財製造,評価なし,13.408244985658563,77.47075191031308,57.0003028381919,6707.8,6642,5745.675
8254,さいか屋,374,JPY,-1.5789473684210527,9100,0.5796178343949044,17954065.751575,USD,42.74188018559576,0.05602753059999999,USD,-58.06378950899811,0,小売業,評価なし,26.742349062359576,-9.256041730146137,39.18002357958254,400.62,393,429.075
2294,柿安本店,2895,JPY,-1.1608057357459884,46500,1.7409210033695246,194785265.790341,USD,39.61325422541379,0.47437266559999997,USD,-37.4238686580762,2.90201433936497,小売業,評価なし,39.00001904187057,45.75388026080327,59.6985812644117,2764.54,2855.5,2702.38
6022,赤阪鐵工所,3540,JPY,-7.6923076923076925,17700,1.5902964959568733,32264506.65796,USD,73.31742717964012,0.3080950992,USD,-77.04087528001573,0.782268578878748,生産財製造,評価なし,32.21523213314751,-240.71863631249744,33.57737681847833,4404.500000000011,4134.249999999995,3486.2699999999963
2475,ＷＤＢホールディングス,1571,JPY,-0.9457755359394703,40800,1.0979547900968785,198888709.562486,USD,10.062901138882127,0.9961889580000001,USD,-4.221028207673461,4.00378310214376,商業サービス,評価なし,20.40401719226366,-10.098882379628776,39.83316145475814,1614.6199999999983,1598.3499999999854,1700.8000000000109
9284,Ｉ−カナディアンソラ,91900,JPY,-1.8162393162393164,1193,0.7784157640610727,268632549.55609703,USD,14.115845348211485,41.5429530102,USD,3.8383518039003444,7.39209401709402,金融,評価なし,21.834194234004208,217.05300132119737,50.04078316056053,91938,91570,88354.5
8707,岩井コスモホールディングス,3690,JPY,-3.5294117647058822,93400,0.6939078751857355,570788780.744603,USD,9.413892098427981,2.5011854559000004,USD,37.870913279752386,4.83660130718954,金融,評価なし,37.209004153071575,76.71027555227556,48.287117617739284,3557.9,3774.25,2806.89
8165,千趣会,133,JPY,-2.2058823529411766,730100,0.8887725662531802,40520974.558029,USD,1.5789929823853242,0.5374773729000001,USD,,0,小売業,評価なし,54.398052180327284,-19.582362000161822,16.559474788967535,194.64,170.5,231.745
