シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価,ADX (平均方向性指数) (14) 1日,"MACD (移動平均収束拡散) (12,26) 1日, Level",RSI (相対力指数) (14) 1日,SMA (単純移動平均) (50) 1日,SMA (単純移動平均) (20) 1日,SMA (単純移動平均) (200) 1日
7677,ヤシマキザイ,2523,JPY,-0.9033778476040848,500,0.7352941176470589,45543137.19884,USD,116.41534855392112,0.1382915844,USD,-74.44690213315852,0.954198473282443,流通サービス,評価なし,25.050767422827764,-81.49771320300488,26.99349411432169,2845.38,2765.5,2569.185
4439,東名,1014,JPY,-1.8393030009680542,52000,0.5020758907019407,196873447.09486002,USD,12.987512007684918,0.499914225,USD,-18.614735762399842,1.16279069767442,テクノロジーサービス,評価なし,35.015772510212564,-16.077738591229263,40.379829770222784,1071.9600000000005,1053.3500000000004,1018.6425000000008
2220,亀田製菓,4365,JPY,0.8083140877598153,89200,1.1915575741383917,578798614.2071,USD,3.4323663417674397,8.114828729400001,USD,608.1900442661447,1.31034482758621,非耐久消費財,評価なし,40.37588217746822,98.12370331291913,61.89440718048412,4034.1,4266,4010.975
7425,初穂商事,2350,JPY,0.5562687205819427,600,0.25316455696202533,50035058.63256,USD,9.316368820373272,1.6095702402,USD,-14.829352590277049,3.33333333333333,素材産業,評価なし,25.073248043776573,16.80444385842975,56.13833004754201,2263.9,2322.7,2061.69
4027,テイカ,1709,JPY,3.7014563106796112,184800,0.9547920433996383,223337682.64416,USD,25.114846415880695,0.4342104594,USD,-44.5548410647181,2.18698742482231,素材産業,評価なし,39.92405113635102,77.2620371274279,53.81529427330482,1485.06,1722.55,1342.535
1384,ホクリヨウ,3065,JPY,0.32733224222585927,15300,0.3497942386831276,163838902.63238,USD,7.732336530458973,2.5293473613,USD,127.47672937206606,2.28013029315961,素材産業,評価なし,11.933701858769453,-3.2290026595455856,48.67741639753383,3074.32,3112.05,2404.69
6554,Ｇ−エスユーエス,1050,JPY,1.6456921587608906,13200,0.5784399649430324,59188028.61434,USD,9.985715671487073,0.6709634262,USD,33.68414495071559,4.28979980934223,商業サービス,評価なし,34.410417883392725,-26.931642386575277,40.5614067144789,1130.48,1072.6,1148.685
9346,ココルポート,1640,JPY,-0.303951367781155,4200,0.8092485549132948,38355014.01402,USD,10.247937602557487,1.0211654682,USD,8.235687188758192,2.85888077858881,ヘルスケアサービス,評価なし,18.032318498149245,-8.679426948459422,43.38511268598053,1678.22,1661.8,1663.995
1833,奥村組,6710,JPY,2.599388379204893,86100,0.6371170637857038,1526933480.98138,USD,21.614447857157813,1.9809208305000001,USD,17.566471871611743,3.08248914616498,耐久消費財,評価なし,29.33541740088556,15.971886473524137,45.95093641898327,6696,7017.5,5305.9
9072,ニッコンホールディングス,3870,JPY,-0.8962868117797695,433700,1.246550931248563,3070805165.94714,USD,31.07717337449118,0.7946176347,USD,-1.1071068940652484,1.57557853274249,交通・輸送,評価なし,21.56825675744167,71.02803614404911,50.11722076648696,3707.04,3931.8,3447.525
7120,ＳＨＩＮＫＯ,922,JPY,1.0964912280701753,4900,0.36082474226804123,31812807.569280002,USD,7.035520220252989,0.8362255833,USD,78.04305118917904,3.52598691384951,テクノロジーサービス,評価なし,12.89630403255062,-3.308051904544868,49.36762136726541,934.7600000000014,922.850000000001,836.6363117949996
3175,エー・ピーホールディングス,966,JPY,-0.2066115702479339,26100,0.992018244013683,77683325.45300001,USD,18.435395960243667,0.3343592952,USD,,0,消費者サービス,評価なし,50.19520633929099,-3.0443513583622916,39.1016414509339,978.1800000000004,988.1999999999967,948.0149999999973
6757,ＯＳＧコーポレーション,820,JPY,0.49019607843137253,4100,0.25818639798488663,26876643.34362,USD,,-0.057586853800000004,USD,-184.10245715152436,4.91400491400491,生産財製造,評価なし,42.32347212376433,-21.075425513682603,40.97338068752402,900.3999999999997,819.5499999999996,883.8599999999979
7718,スター精密,2200,JPY,0.18214936247723132,29300,0.15978622457326716,666115715.6829801,USD,26.4205869213291,0.5313356604,USD,56.64056253985691,1.59235668789809,生産財製造,評価なし,52.456433140992,1.246636164918982,58.26378068954276,2196.88,2197.85,1892.61
6111,旭精機工業,2431,JPY,-0.3280032800328003,3900,0.7317073170731707,37254984.82648,USD,8.36109186023116,1.8552853215000003,USD,111.02300084408765,2.39329876346231,電子テクノロジー,評価なし,31.79853932102546,26.02650921954728,47.50262792198509,2384.42,2491.8,2162.775
4053,ＳＵＮ　ＡＳＴＥＲＩＳＫ,407,JPY,3.826530612244898,129800,0.5136728798132099,97211920.9821,USD,34.4623200677392,0.07535961000000001,USD,-53.50906199316611,0,テクノロジーサービス,評価なし,26.591673064495076,-12.910093029093844,44.94809111108092,442.6,414.3,470.095
2924,イフジ産業,1995,JPY,0,7300,0.5492851768246803,103866125.39714,USD,8.26346323193781,1.5405278202000001,USD,12.211673027324574,3.54679802955665,素材産業,評価なし,18.408303809168647,-19.751642429782123,43.02311738042459,2066.3199999999983,2030.550000000004,2136.9150000000004
9252,ラストワンマイル,4580,JPY,-0.43478260869565216,10000,0.6116207951070335,75476169.49864,USD,15.020707586834776,1.9523540972,USD,-11.824289641814124,0.657894736842105,テクノロジーサービス,評価なし,18.817829181541068,80.7940283055841,60.87231737318272,4253.1,4280.000000000002,3949.151999999996
8014,蝶理,4275,JPY,3.1363088057901085,24200,0.7369062119366626,646710782.71612,USD,10.394737417990992,2.6242870698000003,USD,-5.121095436090528,3.45372460496614,素材産業,評価なし,23.900279254576226,14.803362619615655,45.72009725524556,4269,4474.5,4007.3
7777,スリー・ディー・マトリックス,753,JPY,13.918305597579424,14226800,1.5433515727718885,519763888.6377,USD,,-0.0174211949,USD,75.58914749834011,0,ヘルスケアテクノロジー,評価なし,47.425029381361455,61.88976503407446,68.99784337013662,490,606.15,312.315
6089,ウィルグループ,1256,JPY,0.964630225080386,46100,0.5687847008019741,180091473.56800002,USD,14.272581303145763,0.5615337429,USD,-13.603652957277445,3.48376880443389,商業サービス,評価なし,27.80109930083504,9.870239084027617,51.56644419448189,1222.54,1272.35,1054.835
3810,サイバーステップホールディングス,274,JPY,7.874015748031496,857400,1.614111711440351,111135554.31428,USD,,-0.549928058,USD,19.004736967680554,0,テクノロジーサービス,評価なし,33.597952363967636,-11.446621559129994,55.83074853703989,287.3799999999955,247.09999999999891,321.8899999999898
7739,キヤノン電子,3625,JPY,0,17500,0.11926668029714442,939087407.8776801,USD,22.79974590076293,1.014534333,USD,-15.063849155302178,0.96551724137931,電子テクノロジー,評価なし,36.64829385743487,3.9765381697297926,53.32131334400165,3632.600000000003,3629.999999999992,2961.214999999999
441A,ＮＥ,644,JPY,3.205128205128205,20800,0.31026252983293556,68000625.121,USD,,,,,0,テクノロジーサービス,評価なし,18.28875879642698,-11.403618823119132,45.135034379830934,671.92,672.9,
5161,西川ゴム工業,4110,JPY,3.6569987389659517,87800,0.5858801548111571,920079833.61832,USD,21.575890438573282,1.2155192424,USD,72.23363471971066,4.51174289245983,生産財製造,評価なし,35.653126209614555,103.47684178677082,52.91108567249922,3774.2,4133.5,3070.96
5986,モリテック　スチール,230,JPY,2.6785714285714284,32800,0.42747295712237715,31818742.65884,USD,8.794906601915761,0.16687272150000002,USD,58.74986341617393,1.70940170940171,流通サービス,評価なし,41.998093080813604,4.79710718233585,52.07282981755376,212.84,235.1,202.245
4099,四国化成ホールディングス,5110,JPY,6.237006237006238,206800,0.693029490616622,1362044263.65648,USD,26.424013895618423,1.2339877707000002,USD,-0.09092754882576252,1.11902339776195,素材産業,評価なし,46.298301413050744,299.02642257087973,58.76650893202826,3908.06,4963.75,2691.655
4064,日本カーバイド工業,2854,JPY,5.274806344522316,104200,1.1156316916488223,161783412.139,USD,10.26717314216869,1.7737476273000001,USD,18.524265270845426,2.73926276631721,電子テクノロジー,評価なし,37.43104024605484,27.26772938381282,48.223035081272734,2773.06,2973.25,2242.59
6018,阪神内燃機工業,4875,JPY,-0.5102040816326531,4400,0.45267489711934156,100612710.82866,USD,19.376732975503042,1.6053983424,USD,237.31856368672686,2.17391304347826,生産財製造,評価なし,21.964595754916513,152.56154759523088,60.023512026349174,4348,4711.5,3546.76
7097,Ｇ−さくらさく,2775,JPY,3.0066815144766146,3000,0.37641154328732745,78711285.40696,USD,17.221616448846834,1.0459253377000002,USD,18.798133848038958,0.936262153402953,消費者サービス,評価なし,23.577077240586387,-32.83225302219944,49.37725802859152,2918.64,2726.3,2645.815
7818,トランザクション,1266,JPY,0.6359300476947536,118000,0.5061770761839396,456848714.63822,USD,17.01784454078032,0.4763351775,USD,-8.027965284474442,2.25653206650831,素材産業,評価なし,33.683926865056755,14.41289829549919,50.464227376923006,1213.94,1290.95,1182.45
9950,ハチバン,3480,JPY,-0.28653295128939826,1700,0.8808290155440415,64682046.796220005,USD,283.7457703126911,0.0782597745,USD,-86.34872119089863,0.573065902578797,消費者サービス,評価なし,18.0522593951929,3.013570079755482,48.30021231190671,3472.2,3491,3436.325
9941,太洋物産,845,JPY,3.6809815950920246,33500,2.0023909145248058,9989378.97684,USD,10.322199202564304,0.5223639744,USD,4.466561088686765,0,流通サービス,評価なし,64.4699344551208,29.993775882834257,68.36820458278828,689.18,745.5,828.41
4534,持田製薬,3660,JPY,0.8264462809917356,21400,0.583265194875988,783141943.88208,USD,20.203614901435618,1.1559545217,USD,12.515643933818165,2.13903743315508,ヘルスケアテクノロジー,評価なし,20.735865018541837,9.27784591290083,44.78288529420466,3677.4,3780.25,3261.08
4814,ネクストウェア,196,JPY,6.521739130434782,125500,0.5876018353778444,14822898.03824,USD,,-0.0602608878,USD,21.88104888741832,0,テクノロジーサービス,評価なし,18.669058481652375,-4.155315195695124,49.44228508842731,202.73999999999936,194.94999999999985,181.78499999999906
2892,日本食品化工,3800,JPY,2.1505376344086025,4300,0.3930530164533821,115998733.61382,USD,15.95452121741394,1.519807437,USD,-12.579235012791393,3.25945241199479,非耐久消費財,評価なし,31.840967345409194,-42.51633090313953,43.46300385772856,3993.4,3894.25,3610.765
7931,未来工業,3240,JPY,1.0920436817472698,28900,0.7344345616264295,348876770.87828,USD,11.135949319057323,1.8565493976,USD,-7.679566583606203,4.54545454545455,生産財製造,評価なし,19.8784744465571,-42.522632739122855,40.029186305865814,3396.6,3389.75,3528.55
9761,東海リース,2655,JPY,2.351580570547417,10800,0.8962655601659751,56773279.516660005,USD,7.191459958465594,2.3557879899,USD,75.69014894177957,4.48933782267116,金融,評価なし,22.139956232510833,15.940968622119726,52.557739491624524,2590.78,2652.9,2329.12
9218,メンタルヘルステクノロジーズ,749,JPY,2.043596730245232,13500,0.27267218743688143,48616839.84546,USD,31.094320823646626,0.153705528,USD,,1.35135135135135,テクノロジーサービス,評価なし,39.1603593136509,-15.37061771302092,47.0207398105937,788.48,749.6,773.425
4171,グローバルインフォメーション,1365,JPY,0.3676470588235294,2200,0.694006309148265,25599552.88678,USD,17.43386307584433,0.4996061379,USD,-26.36836927961359,4.3010752688172,商業サービス,評価なし,19.622225612751496,-10.937965703435793,36.90933289146759,1416.34,1406.75,1416.76
7822,永大産業,253,JPY,2.8455284552845526,77800,0.4361720020182766,68928884.27644,USD,25.126875825561882,0.0642496509,USD,-82.55591552467905,3.90625,生産財製造,評価なし,38.39140553475064,2.7180840529609895,53.19247021184068,243.02,253.1,237.285
3457,ＡＮＤ　ＤＯホールディングス,1098,JPY,1.478743068391867,43800,0.49064635375826143,136897723.61724,USD,16.99724607461141,0.41220430469999997,USD,-41.64525745257453,4.07608695652174,金融,評価なし,16.12507347718955,2.2748955278302674,50.72232086384896,1087.98,1097.1,1098.865
4387,ＺＵＵ,665,JPY,-0.7462686567164178,4600,0.6959152798789713,20175818.49304,USD,45.90258987243912,0.09244282320000001,USD,,0,商業サービス,評価なし,20.399446101335915,0.10527686437683315,45.74972437565915,667.54,679.65,671.32
9782,ディーエムエス,3755,JPY,0.4010695187165776,42600,0.6817090734517522,138806543.9927,USD,22.01168641758778,1.0885424472,USD,27.515172173049834,8.22454308093995,商業サービス,評価なし,39.06942811727565,13.575474700884115,45.371632302576444,3734,3895.25,3238.74
2999,ホームポジション,458,JPY,-0.2178649237472767,5600,0.4381846635367762,27341177.86348,USD,6.526438488317247,0.44933756830000005,USD,,2.17864923747277,耐久消費財,評価なし,35.86995238842409,-4.990714962463471,37.961172333442185,473.14,469.15,485.905
7771,日本精密,483,JPY,19.851116625310176,4058200,1.6005963485483725,56283276.5511,USD,105.93034476708485,0.029094807599999998,USD,-78.4745826724073,0,耐久消費財,評価なし,20.373798030031658,7.833505239865815,55.08438454327622,349.08,504,155.39
7065,ユーピーアール,936,JPY,1.1891891891891893,15300,0.6728232189973615,44919255.91492,USD,12.812878585655325,0.46774875450000003,USD,25.567016688639725,2.5879917184265,非エネルギー鉱物,評価なし,28.62705873005013,-17.287905697313704,41.86751014660173,980.38,1006.35,812.78
8912,エリアクエスト,170,JPY,1.1904761904761905,216200,0.13015079914517053,15865814.10926,USD,14.91345808002386,0.0727376571,USD,227.8618269673263,1.66666666666667,金融,評価なし,54.37276062819969,4.2719281945533965,52.302533770608925,160.11999999999975,168.30000000000007,164.25500000000025
1847,イチケン,6210,JPY,4.898648648648648,40100,1.3002594033722439,272483214.90576,USD,8.102767623584821,4.890429028800001,USD,29.096727778918524,2.45641838351823,産業サービス,評価なし,44.77837743262999,256.112045984175,58.44445945929654,5396.3,6022.5,4055.76
7461,キムラ,495,JPY,0.6097560975609756,500,0.1497005988023952,46267501.42172,USD,6.565230539065111,0.4811095332,USD,19.91087460260156,3.2,流通サービス,評価なし,27.20807806710908,-2.8853849172824653,39.74961843455067,506.84,512.9,491.815
475A,ギミック,1145,JPY,2.7827648114901256,39000,1.2279596977329974,,,,,,,,テクノロジーサービス,評価なし,13.222056898558106,5.83728728512051,54.26038006661619,1116.62,1102.4,
6560,ＬＴＳ,1687,JPY,3.4334763948497855,12900,0.6829010058231869,47538392.51244,USD,11.008264354952903,0.9778786785000001,USD,-27.956085925137526,2.05882352941176,商業サービス,評価なし,37.95786785669222,-92.22866801805276,40.32728479459782,1984.38,1745.55,2159.42
7893,プロネクサス,1168,JPY,0.6896551724137931,72700,0.9518198481277821,187605359.15904,USD,,-0.1235859318,USD,-117.78791313148753,3.91156462585034,商業サービス,評価なし,15.485528443589297,-1.4595475093722143,49.43619274425418,1166.6,1176.2,1131.23
6853,共和電業,792,JPY,3.3942558746736298,45700,0.6471254602095724,123957174.07696,USD,20.270477789494162,0.24931587959999998,USD,-0.2825255281083585,2.63819095477387,電子テクノロジー,評価なし,24.46904210755603,8.24350338813349,51.242435192725814,768.26,797,662.515
5840,Ｐ−日本総険,1010,JPY,0,700,1.2727272727272727,4258261.13948,USD,14.067773238638184,0.45970530589999997,USD,-3.318753888375677,1.48514851485149,金融,評価なし,,,50,,1008.5,
3542,ベガコーポレーション,1966,JPY,-1.2060301507537687,35200,0.5406235601290125,133716725.44172001,USD,26.53103361722169,0.4728442239,USD,26.03371357914664,0.514740290126345,小売業,評価なし,34.894391419439266,133.9854479844255,56.3577976488904,1649.46,1899.65,1704.895
7927,ムトー精工,2271,JPY,2.25123818099955,25600,0.6070666350486128,101196074.2377,USD,8.973078394123206,1.6149698424,USD,6.152418173345799,4.44491705657167,生産財製造,評価なし,34.062663741700135,13.353977385163489,46.637049319986,2240.18,2363.8,1811.045
4098,チタン工業,1069,JPY,3.7864077669902914,8900,0.36990856192851207,19689886.40978,USD,75.50501483260348,0.090342198,USD,,0.899280575539568,素材産業,評価なし,24.248611064084816,-14.227528046020097,45.49539658510205,1079.68,1151.95,865.26
3472,日本ホテル＆レジデンシャル投資法人,73100,JPY,1.5277777777777777,2276,0.8490953180376796,197339501.6107,USD,16.3275695523751,28.6668079103,USD,32.22040760395278,6.10190217391304,金融,評価なし,25.421452145545675,-884.6451227696525,42.17646136364672,75680,74995,76280.5
7130,ヤマエグループホールディングス,2931,JPY,5.280172413793103,207700,2.258836324089179,490087684.0953,USD,8.689480481132177,2.1523393764,USD,-2.4386829480776933,2.43817485196796,非耐久消費財,評価なし,28.817048566906216,-3.6792906314785796,50.430769943064696,2837.72,3021.1,2623.265
